LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType	PO_Number	Warehouse
201106200902	06/20/2011	06/20/2011	5852	 11526-1-01	0026002262	2.35	-1	-14.62	12040418	7330	1	00002441        	4		1
201106200902	06/20/2011	06/20/2011	7526	 43754-1-01	0026002262	2.35	1	14.62	12040419	7331	1		1		1
201106200902	06/20/2011	06/20/2011	5853	 11526-1-01	0026003343	2.35	-1	-15.58	12040420	7330	1	00002441        	4		1
201106200902	06/20/2011	06/20/2011	7527	 43754-1-01	0026003343	2.35	1	15.58	12040421	7331	1		1		1
201106200902	06/20/2011	06/20/2011	5854	 11526-1-01	0025982216	2.35	-1	-15.04	12040422	7330	1	00002472        	4		1
201106200902	06/20/2011	06/20/2011	7528	 43754-1-01	0025982216	2.35	1	15.04	12040423	7331	1		1		1
201106200902	06/20/2011	06/20/2011	5855	 11526-1-01	0025983769	2.35	-1	-15.64	12040424	7330	1	00002472        	4		1
201106200902	06/20/2011	06/20/2011	7529	 43754-1-01	0025983769	2.35	1	15.64	12040425	7331	1		1		1
201106200902	06/20/2011	06/20/2011	5856	 11526-1-01	0026002252	2.35	-1	-15.93	12040426	7330	1	00002441        	4		1
201106200902	06/20/2011	06/20/2011	7530	 43754-1-01	0026002252	2.35	1	15.93	12040427	7331	1		1		1
201106200902	06/20/2011	06/20/2011	5857	 11526-1-01	0025983768	2.35	-1	-14.68	12040428	7330	1	00002472        	4		1
201106200902	06/20/2011	06/20/2011	7531	 43754-1-01	0025983768	2.35	1	14.68	12040429	7331	1		1		1
201106200903	06/20/2011	06/20/2011	5858	 11526-1-01	0025982312	2.35	-1	-12.86	12040430	7330	1	00002472        	4		1
201106200903	06/20/2011	06/20/2011	7532	 43754-1-01	0025982312	2.35	1	12.86	12040431	7331	1		1		1
201106200903	06/20/2011	06/20/2011	5859	 11526-1-01	0025983767	2.35	-1	-13.64	12040432	7330	1	00002472        	4		1
201106200903	06/20/2011	06/20/2011	7533	 43754-1-01	0025983767	2.35	1	13.64	12040433	7331	1		1		1
201106200907	06/20/2011	06/20/2011	5860	 34300-1-01	0025875515	3.5	-1	-12.12	12040434	7330	1	00000519        	4		1
201106200907	06/20/2011	06/20/2011	7534	 36831-1-01	0025875515	3.5	1	12.12	12040435	7331	1		1		1
201106200907	06/20/2011	06/20/2011	5861	 34300-1-01	0025870599	3.5	-1	-12.26	12040436	7330	1	00000519        	4		1
201106200907	06/20/2011	06/20/2011	7535	 36831-1-01	0025870599	3.5	1	12.26	12040437	7331	1		1		1
201106200907	06/20/2011	06/20/2011	5862	 34300-1-01	0025884098	3.5	-1	-12.12	12040438	7330	1	00000519        	4		1
201106200907	06/20/2011	06/20/2011	7536	 36831-1-01	0025884098	3.5	1	12.12	12040439	7331	1		1		1
201106200907	06/20/2011	06/20/2011	5863	 34300-1-01	0025884172	3.5	-1	-12.02	12040440	7330	1	00000519        	4		1
201106200907	06/20/2011	06/20/2011	7537	 36831-1-01	0025884172	3.5	1	12.02	12040441	7331	1		1		1
