CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
3266	5.4566	0	594.12	716.43		14	1	108.88	BX	594.12	602198	0	6.58	LB	 35409-1-01	BEEF, CULOTTE 10-OZ 1184D CH			108.88	11	110	6.58	5.4566	108.88	11	03/21/2011
3801	11.4	0	55.86	58.56		1	1	4.9	BX	55.86	602199	0	11.95	LB	 55202-1-01	LAMB, RIB CHOP 1-RIB NZ			4.9	1	5	11.95	11.4	4.9	1	03/21/2011
748	17.7986	18.35	-367.19	-378.56		1	1	-20.63	LB	0	602200	0	0	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			-20.63	-20.63	-20.63	18.35	17.7986	0	0	03/21/2011
748	15.9526	18.75	-99.7	-117.19		2	1	-6.25	LB	0	602200	0	18.75	LB	 35002-1-01	FILET, 10-OZ 1190			-6.25	-6.25	-6.25	18.75	15.9526	0	0	03/21/2011
748	0	0	0	0		0	2	0		0	602200	0	0		     0-0-00	REFER TO 601374 QUALITY	RA-01360		0	0	0	0	0	0	0	03/21/2011
748	7.9049	8	-23.71	-24		1	1	-3	LB	0	602201	0	0	LB	 11443-1-01	VEIN STEAK 8OZ DENUDED PR			-3	-3	-3	8	7.9049	0	0	03/21/2011
748	0	0	0	0		0	2	0		0	602201	0	0		     0-0-00	REFER TO 601745	QUALITY RA-01368		0	0	0	0	0	0	0	03/21/2011
3266	3.5	0	209.37	394.81		1	1	59.82	BX	209.37	602202	0	6.6	LB	 34144-1-01	STRIPSTK, 16-OZ VEIN IN			59.82	6	60	6.6	3.5	59.82	6	03/21/2011
3266	6.7412	0	405.82	496.05		2	1	60.2	BX	405.82	602202	0	8.24	LB	 14582-1-01	BEEF, TOP BUTT 8-OZ 1184B PR			60.2	5	60	8.24	6.7412	60.2	5	03/21/2011
748	3.15	3.25	-15.75	-16.25		1	1	-5	LB	0	602203	0	0	LB	 78119-1-01	GROUND BEEF, GIBSONS			-5	-5	-5	3.25	3.15	0	0	03/21/2011
748	0	0	0	0		0	2	0		0	602203	0	0		     0-0-00	REFER TO 601582 QUALITY	RA-01365		0	0	0	0	0	0	0	03/21/2011
748	17.7986	18.35	-24.56	-25.32		1	1	-1.38	LB	0	602204	0	0	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			-1.38	-1.38	-1.38	18.35	17.7986	0	0	03/21/2011
748	0	0	0	0		0	2	0		0	602204	0	0		     0-0-00	REFER TO INVOICE 601799	QUALITY RA-01367		0	0	0	0	0	0	0	03/21/2011
